x,label
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
1,Yes
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
1,Yes
0,No
0,No
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
0,No
0,No
0,No
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
1,Yes
1,Yes
1,Yes
0,No
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
0,No
0,No
0,No
1,Yes
0,No
0,No
1,Yes
0,No
0,No
0,No
1,Yes
1,Yes
0,No
1,Yes
0,No
